gene_a,gene_b,correlation,weight
COL6A6,EPYC,0.6183794921744421,0.6183794921744421
COL6A6,MMP13,0.7188854044924249,0.7188854044924249
COL6A6,NTM,0.7443090947306147,0.7443090947306147
COL6A6,GREM1,0.6798914304387988,0.6798914304387988
COL6A6,MEGF10,0.7258197951015446,0.7258197951015446
COL6A6,ASPN,0.6751911104779259,0.6751911104779259
COL6A6,INHBA,0.7303380980281889,0.7303380980281889
COL6A6,GJB2,0.6230285655378545,0.6230285655378545
COL6A6,SVEP1,0.6361439083840351,0.6361439083840351
COL6A6,SULF1,0.6067886171538993,0.6067886171538993
COL6A6,THBS2,0.7473331964560529,0.7473331964560529
HLA-DRB6,HLA-DQA2,0.7310188932305228,0.7310188932305228
C3orf72,DLK1,0.6567936808003075,0.6567936808003075
C3orf72,EDN3,0.6362236181265055,0.6362236181265055
C3orf72,TSPAN8,0.6841337243745944,0.6841337243745944
C3orf72,ARX,0.8405108781715769,0.8405108781715769
C3orf72,STAR,0.8129807732146379,0.8129807732146379
C3orf72,PLCXD3,0.6366752041285507,0.6366752041285507
C3orf72,PEG3,0.7164961779974204,0.7164961779974204
C3orf72,FAM150B,0.6073524690006535,0.6073524690006535
C3orf72,SCUBE1,0.6317702292544669,0.6317702292544669
C3orf72,PTPN5,0.7004023541797143,0.7004023541797143
EPYC,SFRP2,0.7638495358068974,0.7638495358068974
EPYC,MMP13,0.6777403126651397,0.6777403126651397
EPYC,COMP,0.6100703300862866,0.6100703300862866
EPYC,NTM,0.8122112258827436,0.8122112258827436
EPYC,GREM1,0.6965171981814112,0.6965171981814112
EPYC,CXCL14,0.6222737099422957,0.6222737099422957
EPYC,MEGF10,0.6418439152442499,0.6418439152442499
EPYC,ASPN,0.7193666668590412,0.7193666668590412
EPYC,INHBA,0.8164823196872998,0.8164823196872998
EPYC,MEOX2,0.6284577821038434,0.6284577821038434
EPYC,PTGER3,0.6177204264225041,0.6177204264225041
EPYC,GJB2,0.672191369615294,0.672191369615294
EPYC,SVEP1,0.6795680089450931,0.6795680089450931
EPYC,SULF1,0.6436535629239177,0.6436535629239177
EPYC,SLC35D3,0.7356081476817018,0.7356081476817018
EPYC,THBS2,0.8118974778768107,0.8118974778768107
FMO1,NTM,0.6150504497665207,0.6150504497665207
FMO1,INHBA,0.6195700640640561,0.6195700640640561
FMO1,THBS2,0.6870090431014879,0.6870090431014879
DLK1,EDN3,0.6949697467029767,0.6949697467029767
DLK1,TSPAN8,0.6922823152922029,0.6922823152922029
DLK1,ARX,0.7480029601647935,0.7480029601647935
DLK1,STAR,0.7228863210197809,0.7228863210197809
DLK1,PEG3,0.688137220289323,0.688137220289323
DLK1,SCUBE1,0.6723148380944779,0.6723148380944779
DLK1,PTPN5,0.704276720988475,0.704276720988475
CXCR2P1,CXCL9,0.6157646196068846,0.6157646196068846
